nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Escola L'Arc de Sant Martí	8002393	22	22	0	Públic
Escola L'Arenal de Llevant	8058416	40	29	10	Públic
Escola L'Estel	8043474	44	20	13	Públic
Escola l'Univers	8066504	45	45	0	Públic
Escola La Caixa	8041751	22	22	0	Públic
Escola La Carpa	8035945	66	54	12	Públic
Escola La Farigola de Vallcarca	8002198	21	10	11	Públic
Escola La Farigola del Clot	8035428	46	44	2	Públic
Escola La Flor de Maig	8075645	40	33	5	Públic
Escola La Llacuna del Poblenou	8064179	40	26	13	Públic
Escola La Maquinista	8067764	40	40	0	Públic
Escola La Mar Bella	8002563	40	40	0	Públic
Escola La Marina	8019277	44	41	2	Públic
Escola La Muntanyeta	8033523	21	20	1	Públic
Escola La Palmera	8039495	44	43	1	Públic
Escola La Pau	8002575	22	9	3	Públic
Escola La Sagrera	8074641	44	27	17	Públic
Escola La Sedeta	8039525	23	21	2	Públic
Escola Lavínia	8043841	22	21	1	Públic
Escola Les Acàcies	8002629	40	34	6	Públic
Escola Les Ciències	8068343	20	17	3	Públic
Escola Les Palmeres	8027870	43	40	2	Públic
Escola Llorens i Artigas	8035854	40	40	0	Públic
Escola Lluís Vives	8002010	20	20	0	Públic
Escola Lola Anglada	8036366	22	22	0	Públic
Escola Lola Anglada	8000384	40	40	0	Públic
Escola Mallorca	8001947	44	32	12	Públic
Escola Mare de Déu de Bellvitge	8018078	22	10	3	Públic
Escola Mare de Déu de Montserrat	8002186	21	20	1	Públic
Escola Mare Nostrum	8035465	42	41	1	Públic
Escola Margarida Xirgu	8034965	40	36	4	Públic
Escola Marinada	8054022	20	8	9	Públic
Escola Màrius Torres	8033560	44	41	3	Públic
Escola Mas Casanovas	8002800	21	19	2	Públic
Escola Mediterrània	8054903	21	21	0	Públic
Escola Menéndez Pidal	8018066	66	66	0	Públic
Escola Mercè Rodoreda	8040382	40	35	4	Públic
Escola Mercè Rodoreda	8040345	20	20	0	Públic
Escola Mercè Rodoreda	8039471	40	32	8	Públic
Escola Mestre Enric Gibert i Camins	8041179	44	42	2	Públic
Escola Mestre Morera	8002897	20	17	3	Públic
Escola Miguel de Unamuno	8032312	40	18	6	Públic
Escola Miguel Hernández	8035398	20	15	4	Públic
Escola Milà i Fontanals	8001820	42	39	2	Públic
Escola Milagros Consarnau	8019231	44	44	0	Públic
Escola Miralletes	8002733	23	23	0	Públic
Escola Montigalà	8069748	20	19	0	Públic
Escola Montseny	8002204	21	21	0	Públic
Escola Mossèn Jacint Verdaguer	8001649	42	34	4	Públic
Escola Nabí	8043851	20	20	0	Públic
Escola Octavio Paz	8052165	22	22	0	Públic
Escola Orlandai	8043863	20	19	1	Públic
Escola Pablo Neruda	8034242	22	15	7	Públic
Escola Paco Candel	8069736	44	44	0	Públic
Escola Palma de Mallorca	8031794	20	20	0	Públic
Escola Parc de la Ciutadella	8001601	21	15	6	Públic
Escola Parc del Guinardó	8010201	21	18	3	Públic
Escola Pare Poveda	8002988	21	13	3	Públic
Escola Patronat Domènech	8007202	21	20	1	Públic
Escola Patufet Sant Jordi-Francesc Batallé i Ara	8042871	42	39	0	Públic
Escola Pau Casals	8034850	66	41	18	Públic
Escola Pau Casals	8031800	21	13	8	Públic
Escola Pau Casals-Gràcia	8043267	46	46	0	Públic
Escola Pau Picasso	8036147	20	20	0	Públic
Escola Pau Romeva	8052621	44	44	0	Públic
Escola Pau Sans	8039574	22	22	0	Públic
Escola Pau Vila	8018145	22	22	0	Públic
Escola Pau Vila	8041969	21	17	4	Públic
Escola Pegaso	8013457	66	36	29	Públic
Escola Pep Ventura	8018091	44	17	19	Públic
Escola Pere de Tera	8035878	40	35	3	Públic
Escola Pere IV	8062675	40	39	1	Públic
Escola Pere Vila	8001790	42	36	6	Públic
Escola Pia Balmes	8011941	40	26	4	Privat
Escola Pia de Sarrià-Calassanç	8004286	75	36	5	Privat
Escola Pia Sant Antoni	8005746	75	45	12	Privat
Escola Pia-Luz Casanova	8007445	21	17	4	Privat
Escola Pit-Roig	8043875	22	19	3	Públic
Escola Planas i Casals	8001391	40	28	6	Públic
Escola Poble-sec	8013411	42	42	0	Públic
Escola Poblenou	8002642	44	34	10	Públic
Escola Poeta Foix	8001731	21	17	4	Públic
Escola Pompeu Fabra	8019198	44	36	8	Públic
Escola Pompeu Fabra	8025083	40	39	1	Públic
Escola Pompeu Fabra	8043279	22	22	0	Públic
Escola Pràctiques	8002058	44	35	9	Públic
Escola Prat de la Manta	8039562	22	19	1	Públic
Escola Prim	8002654	20	15	3	Públic
Escola Primavera	8033997	22	22	0	Públic
Escola Progrés	8059639	40	39	0	Públic
Escola Provençals	8043115	44	40	4	Públic
Escola Provençana	8019290	22	15	6	Públic
Escola Rafael Casanova	8037875	40	37	3	Públic
Escola Rambleta del Clot	8002617	46	37	9	Públic
Escola Ramon Casas	8002976	40	37	3	Públic
Escola Ramon Llull	8001777	42	33	9	Públic
Escola Ramon Muntaner	8034527	22	20	2	Públic
Escola Reina Violant-Comas i Solà	8004389	23	20	3	Públic
Escola Riera Alta	8070143	44	44	0	Públic
Escola Rius i Taulet	8002113	42	27	11	Públic
Escola Rosselló Pòrcel	8041180	20	18	2	Públic
Escola Rubén Darío	8001868	21	19	0	Públic
Escola Sagrada Família	8043887	69	34	30	Públic
Escola Sagrada Família	8036101	44	30	4	Públic
Escola Salvador Espriu	8044296	40	29	7	Públic
Escola Sant Josep - El Pi	8042883	22	21	0	Públic
Escola Sant Just	8027471	44	43	1	Públic
Escola Sant Martí	8064167	40	25	13	Públic
Escola Sant Pere Nolasc	8002551	44	18	25	Públic
Escola Santa Coloma	8069751	22	22	0	Públic
Escola Santiago Ramon y Cajal	8018157	44	43	1	Públic
Escola Santiago Rusiñol	8035477	40	29	11	Públic
Escola Seat	8037863	40	23	8	Públic
Escola Serra de Marina	8045574	44	44	0	Públic
Escola Splai	8037841	19	19	0	Públic
Escola Tàber	8043899	40	30	10	Públic
Escola Tabor	8043292	42	35	7	Públic
Escola Tanit	8059767	20	20	0	Públic
Escola Teixidores de Gracia	8075621	46	44	2	Públic
Escola Tibidabo	8002526	20	19	1	Públic
Escola Timbaler del Bruc	8002368	20	15	5	Públic
Escola Tomàs Moro	8035453	20	18	2	Públic
Escola Torre Balldovina	8027511	44	38	0	Públic
Escola Torrent d'en Melis	8039537	43	28	12	Públic
Escola Torrent de Can Carabassa	8055932	44	31	2	Públic
Escola Tres Pins	8041970	21	17	4	Públic
Escola Turó Blau	8008449	23	22	1	Públic
Escola Turó del Cargol	8043838	21	17	4	Públic
Escola Ventós i Mir	8000396	40	16	21	Públic
Escola Víctor Català	8002538	40	35	5	Públic
Escola Vila Olímpica	8052785	40	30	8	Públic
Escola Wagner	8027432	20	20	0	Públic
Escola Xirinacs	8075700	44	43	1	Públic
Escolàpies Llúria-Barcelona	8005382	42	25	3	Privat
Escolàpies Sant Martí - Barcelona	8007858	42	28	8	Privat
Fax	8018467	25	25	0	Privat
FEDAC - Santa Coloma	8027729	41	30	3	Privat
FEDAC-Amilcar	8007469	46	42	4	Privat
FEDAC-Horta	8009806	46	34	8	Privat
FEDAC-Sant Andreu	8008279	42	33	9	Privat
Frederic Mistral-Tècnic Eulàlia	8012027	120	88	11	Privat
Fuster	8027730	19	21	1	Privat
Garbí Pere Vergés	8000943	50	46	0	Privat
Garbiñe	8003725	20	15	0	Privat
Gravi	8011448	21	15	1	Privat
Grèvol	8009247	50	45	4	Privat
Grey	8008701	20	13	3	Privat
Grimm	8010031	25	20	2	Privat
Guinardó	8009971	50	45	3	Privat
Immaculada Concepció	8010171	42	33	4	Privat
Infant Jesús	8004626	60	49	1	Privat
Institut escola Antaviana	8075657	40	39	1	Públic
Institut Escola Arts	8076509	44	44	0	Públic
Institut Escola Baldomer Sola	8076431	19	19	0	Públic
Institut Escola Costa i Llobera	8071226	40	40	0	Públic
Institut Escola Coves d'en Cimany	8077010	20	13	3	Públic
Institut Escola de Badalona	8076901	40	32	3	Públic
